団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数,人口
011002,北海道,札幌市,0.74,97.1,2.6,43.0,99.6,1961575 
012025,北海道,函館市,0.48,93.5,6.4,46.1,97.5,251891 
012033,北海道,小樽市,0.46,96.9,6.8,34.5,96.4,112450 
012041,北海道,旭川市,0.54,94.9,8.2,85.8,98.8,331397 
012050,北海道,室蘭市,0.63,96.8,9.5,52.2,98.7,81579 
012068,北海道,釧路市,0.45,95.5,11.0,70.5,99.8,165667 
012076,北海道,帯広市,0.61,91.0,8.7,70.2,99.9,165670 
012084,北海道,北見市,0.45,95.9,8.9,158.9,96.9,115435 
012092,北海道,夕張市,0.21,124.9,70.0,336.0,89.6,7430 
012106,北海道,岩見沢市,0.38,97.8,8.4,70.7,99.3,79352 
012114,北海道,網走市,0.44,96.7,17.4,112.5,96.7,34640 
012122,北海道,留萌市,0.33,94.6,12.5,56.3,96.0,20257 
012131,北海道,苫小牧市,0.79,89.2,6.5,65.2,98.6,170205 
012149,北海道,稚内市,0.39,89.8,11.3,58.6,96.9,33032 
012157,北海道,美唄市,0.27,99.9,12.9,118.6,96.9,20504 
012165,北海道,芦別市,0.26,99.6,5.5,91.7,92.2,12774 
012173,北海道,江別市,0.56,92.6,6.3,16.8,98.0,119815 
012181,北海道,赤平市,0.20,93.2,11.6,106.6,95.9,9642 
012190,北海道,紋別市,0.32,85.0,10.0,-,95.0,21317 
012203,北海道,士別市,0.26,98.1,13.5,136.6,97.9,18134 
012211,北海道,名寄市,0.27,92.6,9.7,19.3,99.6,27059 
012220,北海道,三笠市,0.20,97.0,8.7,29.1,98.0,8148 
012238,北海道,根室市,0.35,93.9,8.6,-,98.4,24858 
012246,北海道,千歳市,0.78,90.6,8.2,16.6,97.5,97942 
012254,北海道,滝川市,0.41,92.9,9.4,68.2,97.2,39264 
012262,北海道,砂川市,0.32,83.9,4.5,73.9,99.2,16505 
012271,北海道,歌志内市,0.11,91.4,11.2,-,94.0,3019 
012289,北海道,深川市,0.27,84.6,14.6,122.3,98.3,20085 
012297,北海道,富良野市,0.37,92.0,7.0,33.1,99.6,21071 
012301,北海道,登別市,0.47,99.8,12.4,81.8,95.3,46833 
012319,北海道,恵庭市,0.61,92.6,4.9,12.2,98.6,70097 
012335,北海道,伊達市,0.39,87.4,4.8,-,98.2,33406 
012343,北海道,北広島市,0.65,95.4,6.0,89.0,98.8,58130 
012351,北海道,石狩市,0.53,94.1,7.4,63.0,98.3,58282 
012360,北海道,北斗市,0.48,89.8,4.4,-,98.1,45657 
013030,北海道,当別町,0.38,94.8,10.1,47.0,96.8,15618 
013048,北海道,新篠津村,0.21,85.1,2.0,11.6,97.2,2979 
013315,北海道,松前町,0.19,83.5,7.9,29.9,97.3,6753 
013323,北海道,福島町,0.23,84.7,11.1,24.8,96.4,3859 
013331,北海道,知内町,0.28,78.6,12.3,-,97.4,4198 
013340,北海道,木古内町,0.21,94.1,11.3,71.0,99.1,3956 
013374,北海道,七飯町,0.48,90.8,11.2,65.4,98.0,28072 
013439,北海道,鹿部町,0.26,91.3,2.2,-,96.8,3811 
013455,北海道,森町,0.31,93.4,13.8,29.6,99.5,14849 
013463,北海道,八雲町,0.29,91.6,11.4,16.8,96.3,15673 
013471,北海道,長万部町,0.24,86.2,11.9,45.0,97.8,5111 
013617,北海道,江差町,0.28,91.5,15.6,58.8,96.5,7310 
013625,北海道,上ノ国町,0.17,86.9,6.6,-,98.0,4615 
013633,北海道,厚沢部町,0.17,79.4,5.8,-,93.6,3701 
013641,北海道,乙部町,0.15,69.6,4.3,-,95.6,3520 
013676,北海道,奥尻町,0.13,84.3,10.3,22.3,89.8,2498 
013706,北海道,今金町,0.20,78.6,6.1,-,96.5,5054 
013714,北海道,せたな町,0.15,87.7,8.8,-,96.4,7563 
013919,北海道,島牧村,0.09,89.4,6.3,28.5,99.6,1410 
013927,北海道,寿都町,0.14,85.6,12.5,27.5,98.3,2887 
013935,北海道,黒松内町,0.15,84.2,11.6,47.9,95.3,2735 
013943,北海道,蘭越町,0.19,85.9,11.8,-,94.6,4605 
013951,北海道,ニセコ町,0.33,89.3,10.0,62.5,95.0,4996 
013960,北海道,真狩村,0.17,92.9,11.4,94.8,96.4,2010 
013978,北海道,留寿都村,0.26,89.7,9.4,68.7,99.2,1911 
013986,北海道,喜茂別町,0.19,85.7,9.8,79.1,98.4,2131 
013994,北海道,京極町,0.79,79.1,7.2,-,96.6,2927 
014001,北海道,倶知安町,0.61,85.7,7.1,95.9,96.1,15123 
014010,北海道,共和町,0.26,89.2,9.0,-,97.4,5730 
014028,北海道,岩内町,0.32,88.4,15.5,138.3,96.5,11983 
014036,北海道,泊村,1.58,39.4,1.2,-,97.9,1561 
014044,北海道,神恵内村,0.10,96.3,6.6,8.0,99.4,815 
014052,北海道,積丹町,0.11,88.2,10.0,56.8,98.5,1922 
014061,北海道,古平町,0.12,84.5,8.7,-,95.4,2900 
014079,北海道,仁木町,0.18,87.5,9.8,-,97.3,3216 
014087,北海道,余市町,0.34,90.7,7.1,47.6,98.2,18253 
014095,北海道,赤井川村,0.26,110.9,6.6,-,96.8,1176 
014231,北海道,南幌町,0.29,86.1,11.2,86.6,97.1,7447 
014249,北海道,奈井江町,0.26,90.9,11.5,52.2,96.2,5235 
014257,北海道,上砂川町,0.12,81.3,5.9,30.8,95.3,2801 
014273,北海道,由仁町,0.22,88.2,15.1,111.8,95.0,4933 
014281,北海道,長沼町,0.31,85.7,11.2,66.7,96.7,10515 
014290,北海道,栗山町,0.30,96.8,11.7,54.1,96.8,11474 
014303,北海道,月形町,0.17,71.7,2.7,-,96.7,3080 
014311,北海道,浦臼町,0.16,72.9,▲ 2.1,-,96.6,1749 
014320,北海道,新十津川町,0.19,78.1,0.5,-,96.5,6548 
014338,北海道,妹背牛町,0.18,76.6,6.6,51.3,97.5,2827 
014346,北海道,秩父別町,0.16,87.0,6.1,-,99.2,2365 
014362,北海道,雨竜町,0.15,86.2,8.4,-,97.0,2258 
014371,北海道,北竜町,0.14,89.4,10.2,-,96.9,1756 
014389,北海道,沼田町,0.16,79.6,▲ 0.6,-,96.8,2975 
014524,北海道,鷹栖町,0.30,88.3,4.9,28.7,97.4,6771 
014532,北海道,東神楽町,0.39,81.6,8.9,6.2,99.8,10154 
014541,北海道,当麻町,0.22,81.3,5.6,38.2,95.4,6372 
014559,北海道,比布町,0.18,90.0,8.5,24.2,97.9,3616 
014567,北海道,愛別町,0.16,97.2,8.8,9.9,95.5,2681 
014575,北海道,上川町,0.17,91.0,12.4,95.8,101.9,3398 
014583,北海道,東川町,0.25,80.4,9.4,11.1,99.2,8437 
014591,北海道,美瑛町,0.22,84.3,11.0,54.6,99.4,9775 
014605,北海道,上富良野町,0.30,88.1,6.5,36.8,97.8,10501 
014613,北海道,中富良野町,0.24,76.8,7.1,-,97.1,4849 
014621,北海道,南富良野町,0.13,89.0,13.7,16.4,97.5,2385 
014630,北海道,占冠村,0.27,95.6,8.6,52.0,100.0,1315 
014648,北海道,和寒町,0.16,76.3,2.9,-,98.2,3222 
014656,北海道,剣淵町,0.16,86.3,4.9,-,99.5,3012 
014681,北海道,下川町,0.16,88.1,5.9,24.0,97.1,3186 
014699,北海道,美深町,0.17,73.1,6.5,-,96.0,4112 
014702,北海道,音威子府村,0.11,92.9,6.1,27.8,97.7,699 
014711,北海道,中川町,0.12,89.5,13.3,-,98.6,1440 
014729,北海道,幌加内町,0.11,91.5,2.1,-,95.5,1386 
014818,北海道,増毛町,0.16,86.0,10.7,-,95.2,4116 
014826,北海道,小平町,0.15,80.3,10.2,-,95.2,2996 
014834,北海道,苫前町,0.16,82.2,9.7,-,94.3,2986 
014842,北海道,羽幌町,0.20,86.2,10.4,6.8,94.7,6661 
014851,北海道,初山別村,0.11,81.8,6.6,-,94.6,1125 
014869,北海道,遠別町,0.14,82.3,8.0,10.4,97.1,2543 
014877,北海道,天塩町,0.16,82.8,8.3,21.6,96.2,2973 
015113,北海道,猿払村,0.26,89.7,9.9,8.7,96.5,2722 
015121,北海道,浜頓別町,0.20,88.9,8.0,6.7,97.5,3488 
015130,北海道,中頓別町,0.11,62.6,▲ 1.5,-,96.6,1657 
015148,北海道,枝幸町,0.20,80.5,7.8,-,96.2,7856 
015164,北海道,豊富町,0.19,74.1,14.5,-,96.7,3823 
015172,北海道,礼文町,0.13,74.4,12.9,-,94.3,2416 
015181,北海道,利尻町,0.11,78.3,11.2,102.0,95.3,1964 
015199,北海道,利尻富士町,0.12,80.4,13.9,12.0,95.1,2388 
015202,北海道,幌延町,0.24,76.4,7.8,-,99.8,2269 
015431,北海道,美幌町,0.37,82.1,7.4,-,96.7,18941 
015440,北海道,津別町,0.21,81.5,6.3,-,98.5,4484 
015458,北海道,斜里町,0.37,85.3,9.9,94.1,94.7,11300 
015466,北海道,清里町,0.19,75.6,9.3,-,97.3,3951 
015474,北海道,小清水町,0.22,83.6,11.7,-,97.1,4676 
015491,北海道,訓子府町,0.24,75.5,6.2,-,96.4,4810 
015504,北海道,置戸町,0.14,77.9,6.9,-,100.1,2765 
015521,北海道,佐呂間町,0.26,79.7,7.5,-,98.2,4955 
